nohup: ignoring input
wandb: [wandb.login()] Using explicit session credentials for https://api.wandb.ai.
wandb: Appending key for api.wandb.ai to your netrc file: /home/santiago/.netrc
wandb: Currently logged in as: santiago-florido (TAU-Frugal) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.28.0
wandb: Run data is saved locally in results/wandb/run-20260713_121559-1cgjxj5o
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run mnist_fgd_grow_3x10_th050
wandb: ⭐️ View project at https://wandb.ai/TAU-Frugal/stable-tiny
wandb: 🚀 View run at https://wandb.ai/TAU-Frugal/stable-tiny/runs/1cgjxj5o
Using device: cuda
Training method: fgd_approx
W&B logging enabled: project=stable-tiny, run=mnist_fgd_grow_3x10_th050
Original model:
LinearGrowingModule(LinearGrowingModule(Layer 0))(in_features=784, out_features=10, use_bias=True)
LinearGrowingModule(LinearGrowingModule(Layer 1))(in_features=10, out_features=10, use_bias=True)
LinearGrowingModule(LinearGrowingModule(Layer 2))(in_features=10, out_features=10, use_bias=True)
LinearGrowingModule(LinearGrowingModule(Layer 3))(in_features=10, out_features=10, use_bias=True)
[INIT] Epoch 0, train_loss=0.2919, validation_loss=0.2897, test_loss=0.2889, train_acc=0.093, validation_acc=0.105, test_acc=0.103
[FGD] Epoch 37, train_loss=0.0263, validation_loss=0.0278, test_loss=0.0281 (-0.0000), train_acc=0.878, validation_acc=0.872, test_acc=0.864, lr=7.813e-05, rel_err=0.047, selected_layer=0
[FGD] Epoch 38, train_loss=0.0263, validation_loss=0.0278, test_loss=0.0281 (-0.0000), train_acc=0.878, validation_acc=0.872, test_acc=0.864, lr=7.813e-05, rel_err=0.047, selected_layer=0
[FGD] Epoch 39, train_loss=0.0262, validation_loss=0.0277, test_loss=0.0281 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.864, lr=7.813e-05, rel_err=0.047, selected_layer=0
[FGD] Epoch 40, train_loss=0.0262, validation_loss=0.0277, test_loss=0.0281 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.864, lr=7.813e-05, rel_err=0.047, selected_layer=0
[FGD] Epoch 41, train_loss=0.0262, validation_loss=0.0277, test_loss=0.0281 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.865, lr=7.813e-05, rel_err=0.047, selected_layer=0
[FGD] Epoch 42, train_loss=0.0262, validation_loss=0.0277, test_loss=0.0281 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.865, lr=7.813e-05, rel_err=0.047, selected_layer=0
[FGD] Epoch 43, train_loss=0.0262, validation_loss=0.0277, test_loss=0.0281 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.865, lr=7.813e-05, rel_err=0.047, selected_layer=0
[FGD] Epoch 44, train_loss=0.0262, validation_loss=0.0277, test_loss=0.0281 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.865, lr=7.813e-05, rel_err=0.047, selected_layer=0
[FGD] Epoch 45, train_loss=0.0262, validation_loss=0.0277, test_loss=0.0280 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.865, lr=7.813e-05, rel_err=0.047, selected_layer=0
[FGD] Epoch 46, train_loss=0.0262, validation_loss=0.0277, test_loss=0.0280 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.865, lr=7.813e-05, rel_err=0.047, selected_layer=0
[FGD] Epoch 47, train_loss=0.0261, validation_loss=0.0276, test_loss=0.0280 (-0.0000), train_acc=0.878, validation_acc=0.872, test_acc=0.865, lr=7.813e-05, rel_err=0.047, selected_layer=0
[FGD] Epoch 48, train_loss=0.0261, validation_loss=0.0276, test_loss=0.0280 (-0.0000), train_acc=0.878, validation_acc=0.872, test_acc=0.865, lr=7.813e-05, rel_err=0.047, selected_layer=0
[FGD] Epoch 49, train_loss=0.0261, validation_loss=0.0276, test_loss=0.0280 (-0.0000), train_acc=0.878, validation_acc=0.872, test_acc=0.866, lr=7.813e-05, rel_err=0.047, selected_layer=0
[FGD] Epoch 50, train_loss=0.0261, validation_loss=0.0276, test_loss=0.0280 (-0.0000), train_acc=0.878, validation_acc=0.872, test_acc=0.866, lr=7.813e-05, rel_err=0.047, selected_layer=0
[FGD] Epoch 51, train_loss=0.0261, validation_loss=0.0276, test_loss=0.0280 (-0.0000), train_acc=0.878, validation_acc=0.872, test_acc=0.866, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 52, train_loss=0.0261, validation_loss=0.0276, test_loss=0.0280 (-0.0000), train_acc=0.878, validation_acc=0.872, test_acc=0.867, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 53, train_loss=0.0261, validation_loss=0.0276, test_loss=0.0280 (-0.0000), train_acc=0.878, validation_acc=0.872, test_acc=0.867, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 54, train_loss=0.0261, validation_loss=0.0275, test_loss=0.0279 (-0.0000), train_acc=0.878, validation_acc=0.872, test_acc=0.867, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 55, train_loss=0.0261, validation_loss=0.0275, test_loss=0.0279 (-0.0000), train_acc=0.878, validation_acc=0.872, test_acc=0.867, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 56, train_loss=0.0260, validation_loss=0.0275, test_loss=0.0279 (-0.0000), train_acc=0.878, validation_acc=0.872, test_acc=0.868, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 57, train_loss=0.0260, validation_loss=0.0275, test_loss=0.0279 (-0.0000), train_acc=0.878, validation_acc=0.872, test_acc=0.868, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 58, train_loss=0.0260, validation_loss=0.0275, test_loss=0.0279 (-0.0000), train_acc=0.878, validation_acc=0.872, test_acc=0.868, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 59, train_loss=0.0260, validation_loss=0.0275, test_loss=0.0279 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.868, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 60, train_loss=0.0260, validation_loss=0.0275, test_loss=0.0279 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.868, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 61, train_loss=0.0260, validation_loss=0.0275, test_loss=0.0279 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.868, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 62, train_loss=0.0260, validation_loss=0.0274, test_loss=0.0279 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.869, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 63, train_loss=0.0260, validation_loss=0.0274, test_loss=0.0278 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.868, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 64, train_loss=0.0259, validation_loss=0.0274, test_loss=0.0278 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.869, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 65, train_loss=0.0259, validation_loss=0.0274, test_loss=0.0278 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.870, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 66, train_loss=0.0259, validation_loss=0.0274, test_loss=0.0278 (-0.0000), train_acc=0.878, validation_acc=0.872, test_acc=0.870, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 67, train_loss=0.0259, validation_loss=0.0274, test_loss=0.0278 (-0.0000), train_acc=0.878, validation_acc=0.873, test_acc=0.869, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 68, train_loss=0.0259, validation_loss=0.0274, test_loss=0.0278 (-0.0000), train_acc=0.878, validation_acc=0.872, test_acc=0.870, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 69, train_loss=0.0259, validation_loss=0.0274, test_loss=0.0278 (-0.0000), train_acc=0.878, validation_acc=0.872, test_acc=0.869, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 70, train_loss=0.0259, validation_loss=0.0273, test_loss=0.0278 (-0.0000), train_acc=0.879, validation_acc=0.872, test_acc=0.869, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 71, train_loss=0.0259, validation_loss=0.0273, test_loss=0.0278 (-0.0000), train_acc=0.879, validation_acc=0.872, test_acc=0.869, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 72, train_loss=0.0259, validation_loss=0.0273, test_loss=0.0277 (-0.0000), train_acc=0.879, validation_acc=0.872, test_acc=0.870, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 73, train_loss=0.0258, validation_loss=0.0273, test_loss=0.0277 (-0.0000), train_acc=0.879, validation_acc=0.873, test_acc=0.870, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 74, train_loss=0.0258, validation_loss=0.0273, test_loss=0.0277 (-0.0000), train_acc=0.879, validation_acc=0.873, test_acc=0.870, lr=7.813e-05, rel_err=0.049, selected_layer=0
[FGD] Epoch 75, train_loss=0.0258, validation_loss=0.0273, test_loss=0.0277 (-0.0000), train_acc=0.879, validation_acc=0.873, test_acc=0.870, lr=7.813e-05, rel_err=0.048, selected_layer=0
[FGD] Epoch 76, train_loss=0.0258, validation_loss=0.0273, test_loss=0.0277 (-0.0000), train_acc=0.879, validation_acc=0.873, test_acc=0.870, lr=7.813e-05, rel_err=0.049, selected_layer=0
[FGD] Epoch 77, train_loss=0.0258, validation_loss=0.0273, test_loss=0.0277 (-0.0000), train_acc=0.879, validation_acc=0.873, test_acc=0.871, lr=7.813e-05, rel_err=0.049, selected_layer=0
[FGD] Epoch 78, train_loss=0.0258, validation_loss=0.0272, test_loss=0.0277 (-0.0000), train_acc=0.879, validation_acc=0.873, test_acc=0.870, lr=7.813e-05, rel_err=0.049, selected_layer=0
[FGD] Epoch 79, train_loss=0.0258, validation_loss=0.0272, test_loss=0.0277 (-0.0000), train_acc=0.879, validation_acc=0.873, test_acc=0.870, lr=7.813e-05, rel_err=0.049, selected_layer=0
[FGD] Epoch 80, train_loss=0.0258, validation_loss=0.0272, test_loss=0.0277 (-0.0000), train_acc=0.879, validation_acc=0.873, test_acc=0.871, lr=7.813e-05, rel_err=0.049, selected_layer=0
[FGD] Epoch 81, train_loss=0.0257, validation_loss=0.0272, test_loss=0.0276 (-0.0000), train_acc=0.879, validation_acc=0.874, test_acc=0.871, lr=7.813e-05, rel_err=0.049, selected_layer=0
[FGD] Epoch 82, train_loss=0.0257, validation_loss=0.0272, test_loss=0.0276 (-0.0000), train_acc=0.879, validation_acc=0.873, test_acc=0.871, lr=7.813e-05, rel_err=0.049, selected_layer=0
[FGD] Epoch 83, train_loss=0.0257, validation_loss=0.0272, test_loss=0.0276 (-0.0000), train_acc=0.880, validation_acc=0.873, test_acc=0.871, lr=7.813e-05, rel_err=0.049, selected_layer=0
